UC ID;Use Case Name;Actor;Relation
SS-01;Employee & Payroll Management;;
UC-01;Employee Information;;
;Announcement;;
UC-01-01;Melihat Notifikasi Pengumuman Perusahaan;Viewer;
;Employee Information;;
UC-01-02;Melihat Data Karyawan Miliknya Sendiri;Viewer;
UC-01-03;Melihat Notifikasi Kontrak Karyawan Yang Akan Segera Selesai;Reviewer;
UC-01-04;Melihat Notifikasi Masa Persiapan Pensiun;Reviewer;
UC-01-05;Melihat Notifikasi Masa Pensiun;Reviewer;
UC-01-06;Menggunduh Dokumen Data Karyawan;User;
UC-02;Compensation & Benefit;;
;Business Trip;;
UC-02-01;Menyetujui Surat Tugas Perjalanan Dinas;Approver;
UC-02-02;Melihat Surat Tugas Perjalanan Dinas Miliknya Sendiri;Viewer;
UC-02-03;Menggunduh Surat Tugas Perjalanan Dinas Miliknya Sendiri;User;
;Payroll;;
UC-03-05;Melihat Riwayat Slip Gaji Miliknya Sendiri;Viewer;
UC-03-06;Mengunduh Slip Gaji Miliknya Sendiri;User;
SS-02;Attendance & Transfer Management;;
UC-03;Attendance Management;;
;Roster;;
UC-04-01;Melihat Jadwal Kerja Miliknya Sendiri;Viewer;
UC-04-03;Melihat Notifikasi Jadwal Kerja;Reviewer, Viewer;
UC-04-04;Menyetujui Perubahan Jadwal Kerja;Approver;
;Attendances;;
UC-04-06;Membuat QR Code;Creator;
UC-04-07;Membuat Master Data Titik Lokasi untuk Absen QR Code;Administrator;
UC-04-08;Membuat Konfigurasi Karyawan untuk Absen QR Code;Creator;
UC-04-09;Membuat Master Data Titik Lokasi untuk Absen Check in - Check Out;Administrator;
UC-04-10;Membuat Konfigurasi Karyawan untuk Absen Check in - Check Out;Creator;
UC-04-11;Melihat Daftar Titik Lokasi yang telah Dibuat;Reviewer;
UC-04-12;Mengaktifkan Device Binding untuk Mobile;Creator;
UC-04-13;Melihat Info Mobile Device yang Tersambung di Akun Karyawan;Reviewer;
UC-04-14;Menghapus Mobile Device yang Tersambung dengan Akun Karyawan;Creator;
UC-04-15;Melakukan Check In dan Check Out Melalui QR Code;User;
UC-04-16;Melakukan Absensi Melalui Tombol Check In dan Check Out;User;
UC-04-17;Melihat Riwayat Data Kehadiran Miliknya Sendiri;Viewer;
UC-04-18;Melihat Riwayat Data Kehadiran Milik Bawahannya;Reviewer;
;Overtime;;
UC-04-19;Menyetujui Pengajuan Lembur Karyawan;Approver;
UC-04-20;Menyetujui Realisasi Lembur Karyawan;Approver;
;Time Off;;
UC-04-21;Melihat Sisa Cuti Miliknya Sendiri;Viewer;
UC-04-22;Menyetujui Pengajuan Cuti dan Izin;Approver;
UC-04-23;Melihat Jadwal Cuti dan Izin Miliknya Sendiri;Viewer;
UC-04-24;Melihat Jadwal Cuti dan Izin Bawahannya;Reviewer;
SS-03;Recruitment & Development Management;;
UC-04;Recruitment Management;;
UC-05-01;Monitoring Proses Rekrutmen;Reviewer;
UC-05;Learning & Development Management;;
;Training;;
UC-06-01;Melihat Notifikasi Jadwal Training;Viewer;
UC-06-02;Mengatur Konfigurasi Notifikasi Sertifikat Karyawan Yang Akan Segera Kadaluarsa;Administrator;
UC-06-03;Melihat Notifikasi Sertifikat Karyawan Yang Akan Segera Kadaluarsa;Reviewer;
UC-06-04;Mengatur Konfigurasi Notifikasi Pengisian Evaluasi Level 3;Administrator;
UC-06-05;Melihat Notifikasi Pengisian Evaluasi Level 3;Reviewer;
SS-04;Performance & Succession Management;;
UC-08;Performance Management;;
;Performance Appraisal;;
UC-08-01;Mengatur Konfigurasi Notifikasi Jadwal Penilaian Kinerja;Administrator;
UC-08-02;Melihat Notifikasi Jadwal Penilaian Kinerja;Reviewer, Viewer;
;Disciplinary Action;;
UC-08-03;Melihat Notifikasi Pemberian Surat Peringatan dan Surat Panggilan Kerja;Reviewer;
UC-09;General Setting;;
UC-09-01;Mengubah Foto Profil;User;
UC-09-02;Mengubah Kata Sandi;User;